epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8298,1.32303,1.89177,1.07929,0.77082,0.74934,0.77462,0.53161,1.11257,1.72413,1.0312,0.00040012,0.00040012,0.00040012
2,28.2027,1.18628,0.94711,1.0143,0.77121,0.78287,0.78024,0.53821,1.06291,1.15134,0.99071,0.000811842,0.000811842,0.000811842
3,39.377,1.13137,0.8338,0.99633,0.74775,0.62038,0.68692,0.48047,1.18208,1.17966,1.04051,0.00122083,0.00122083,0.00122083
4,50.1681,1.12715,0.81327,0.98091,0.68582,0.78145,0.67708,0.4357,1.18601,1.2196,1.046,0.00141485,0.00141485,0.00141485
5,61.2836,1.08215,0.76118,0.97381,0.83748,0.82176,0.86725,0.59833,1.0428,0.70347,1.0062,0.00141014,0.00141014,0.00141014
6,73.0292,1.11394,0.77569,0.99061,0.85653,0.84387,0.87482,0.61389,1.03065,0.73953,0.97999,0.00140542,0.00140542,0.00140542
7,84.6059,1.07434,0.74569,0.97631,0.72325,0.77043,0.71892,0.50838,1.0423,1.12328,0.9809,0.00140071,0.00140071,0.00140071
8,96.0425,1.10213,0.73465,0.98359,0.8351,0.8088,0.85986,0.61221,1.02283,0.68632,0.98188,0.00139599,0.00139599,0.00139599
9,107.603,1.05538,0.72758,0.9769,0.88166,0.85883,0.89965,0.63611,1.01917,0.61626,0.98353,0.00139127,0.00139127,0.00139127
10,119.008,1.05,0.67588,0.97371,0.88671,0.86866,0.91163,0.66069,0.99151,0.58045,0.9713,0.00138656,0.00138656,0.00138656
11,130.255,1.04569,0.68115,0.97332,0.80232,0.8273,0.88513,0.64129,1.00513,0.73947,0.97275,0.00138184,0.00138184,0.00138184
12,141.73,1.05282,0.68561,0.97863,0.86022,0.85027,0.88955,0.62794,0.99924,0.60133,0.97174,0.00137713,0.00137713,0.00137713
13,153.515,1.07412,0.67026,0.97142,0.88494,0.87839,0.92072,0.66208,0.97505,0.60305,0.96759,0.00137241,0.00137241,0.00137241
14,165.288,1.06064,0.67177,0.9771,0.89461,0.87098,0.91075,0.6592,0.95707,0.55426,0.95909,0.0013677,0.0013677,0.0013677
